Lokace,Velikost,Metry2,Cena,Služby
Praha,Garsoniéra,21 ,10000,2000
Středočeský kraj,1+kk,40 ,10500,3500
Jihomoravský kraj,2+1,38 ,13900,2100
Středočeský kraj,2+1,70 ,15000,3000
Jihomoravský kraj,2+1,54 ,14000,4000
Středočeský kraj,1+1,45 ,12400,2500
Jihomoravský kraj,2+1,56 ,15900,1000
Praha,2+kk,53 ,21200,4500
Praha,4+kk,75 ,30000,4000
Moravskoslezský kraj,1+1,46 ,11000,2500
Praha,1+1,45 ,12000,750
Středočeský kraj,3+1,78 ,14000,4000
Praha,3+kk,94 ,25900,2700
Praha,2+kk,96 ,39900,7900
Praha,2+1,50 ,16990,1
Středočeský kraj,2+kk,64 ,13000,3000
Středočeský kraj,2+kk,50 ,13000,3000
Plzeňský kraj,1+kk,27 ,4500,2500
Praha,3+kk,68 ,25000,8000
Praha,2+kk,52 ,22000,3900
Moravskoslezský kraj,2+1,50 ,6800,0
Moravskoslezský kraj,1+kk,34 ,6020,0
Praha,2+kk,44 ,19000,3000
Praha,1+1,44 ,11200,5767
Praha,Garsoniéra,19 ,8000,3500
Praha,3+kk,91 ,32000,4604
Praha,3+kk,85 ,24000,2000
Praha,2+1,54 ,13500,4000
Moravskoslezský kraj,2+1,45 ,7000,0
Praha,1+kk,33 ,11000,3000
Moravskoslezský kraj,2+kk,54 ,12100,0
Praha,1+kk,30 ,28425,9475
Praha,1+kk,30 ,12000,2500
Praha,1+kk,32 ,21019,7006
Praha,2+kk,51 ,26000,4581
Praha,2+kk,41 ,14500,4500
Pardubický kraj,2+1,86 ,14000,1800
Jihomoravský kraj,2+kk,89 ,18000,4000
Praha,1+kk,32 ,23836,4100
Praha,2+1,50 ,12500,4000
Jihomoravský kraj,2+1,53 ,14000,4000
Středočeský kraj,1+kk,32 ,11500,3000
Moravskoslezský kraj,2+1,53 ,6500,0
Praha,3+1,90 ,18750,6250
Praha,2+1,70 ,19575,6525
Praha,2+1,50 ,33000,11000
Jihomoravský kraj,1+kk,25 ,11300,1500
Praha,2+kk,65 ,17000,4000
Praha,3+kk,68 ,22500,4280
Praha,2+1,61 ,25000,4900
Praha,3+1,130 ,57000,19000
Praha,2+1,54 ,25808,8602
Praha,2+kk,70 ,45000,15000
Plzeňský kraj,2+kk,55 ,22500,7500
Jihočeský kraj,3+1,71 ,15300,4700
Praha,2+kk,50 ,12000,4500
Ústecký kraj,2+kk,42 ,11000,500
Zlínský kraj,2+kk,47 ,11000,4500
Středočeský kraj,2+kk,40 ,10000,3500
Středočeský kraj,2+kk,59 ,13000,6799
Praha,1+kk,35 ,15500,2800
Praha,1+kk,30 ,13000,3000
Praha,2+kk,48 ,15000,4500
Praha,2+1,58 ,16000,4500
Praha,2+kk,46 ,12000,3500
Praha,2+kk,40 ,12000,1500
Praha,3+1,120 ,39000,7500
Jihomoravský kraj,2+kk,69 ,17500,3300
Středočeský kraj,2+1,69 ,13600,8000
Praha,4+kk,130 ,44000,6000
Praha,4+kk,130 ,44000,6000
Plzeňský kraj,1+1,38 ,9500,1100
Praha,2+kk,64 ,19000,4000
Plzeňský kraj,1+kk,29 ,9000,3000
Praha,2+1,90 ,37125,12375
Praha,3+1,90 ,47025,15675
Moravskoslezský kraj,2+1,52 ,12500,2991
Moravskoslezský kraj,2+1,56 ,8500,3400
Jihomoravský kraj,3+kk,79 ,18000,4000
Praha,2+kk,55 ,16000,4000
Praha,2+1,35 ,25380,8460
Praha,2+1,90 ,34898,11632
Praha,1+1,35 ,25500,8500
Praha,2+kk,34 ,12000,5000
Středočeský kraj,3+kk,72 ,27000,4500
Olomoucký kraj,1+kk,31 ,8000,2500
Moravskoslezský kraj,3+1,84 ,15000,3000
Olomoucký kraj,Garsoniéra,15 ,5500,2000
Praha,2+1,60 ,23760,7920
Praha,2+1,76 ,34500,11500
Plzeňský kraj,2+1,62 ,14000,3000
Moravskoslezský kraj,3+1,69 ,9970,0
Moravskoslezský kraj,1+1,37 ,8400,0
Praha,1+1,43 ,33750,11250
Praha,2+kk,67 ,60000,20000
Jihomoravský kraj,1+kk,25 ,16500,5500
Praha,2+1,54 ,37620,12540
Praha,2+kk,45 ,29925,9975
Praha,2+1,53 ,21000,7000
Praha,2+kk,60 ,37500,12500
Jihomoravský kraj,1+kk,20 ,13800,4600
Praha,3+kk,63 ,23624,7875
Praha,2+1,72 ,39000,13000
Praha,2+1,60 ,51656,17219
Praha,2+1,65 ,29250,9750
Praha,2+kk,67 ,24608,8202
Moravskoslezský kraj,1+1,42 ,5900,400
Praha,3+1,72 ,48000,16000
Moravskoslezský kraj,2+kk,45 ,7100,400
Středočeský kraj,1+kk,39 ,9700,1700
Praha,5+kk,180 ,36338,12112
Praha,2+1,53 ,17500,6388
Liberecký kraj,1+kk,45 ,14813,4937
Moravskoslezský kraj,1+1,33 ,5810,0
Moravskoslezský kraj,3+1,73 ,8400,0
Moravskoslezský kraj,2+kk,58 ,12700,0
Moravskoslezský kraj,3+1,69 ,6880,0
Moravskoslezský kraj,4+1,72 ,13130,0
Moravskoslezský kraj,3+1,69 ,12050,0
Moravskoslezský kraj,2+1,55 ,7400,0
Moravskoslezský kraj,3+1,60 ,7590,0
Moravskoslezský kraj,3+1,68 ,7560,0
Moravskoslezský kraj,2+1,57 ,7520,0
Moravskoslezský kraj,3+1,55 ,5600,0
Moravskoslezský kraj,2+1,53 ,6950,0
Moravskoslezský kraj,2+kk,38 ,6180,0
Moravskoslezský kraj,2+1,55 ,7290,0
Moravskoslezský kraj,2+1,54 ,7580,0
Moravskoslezský kraj,4+1,73 ,8920,0
Moravskoslezský kraj,1+1,39 ,7550,0
Moravskoslezský kraj,1+kk,19 ,5540,0
Moravskoslezský kraj,2+1,51 ,5500,0
Moravskoslezský kraj,1+1,28 ,4280,0
Moravskoslezský kraj,2+1,48 ,7070,0
Praha,3+kk,72 ,20000,3500
Jihomoravský kraj,1+kk,55 ,36000,12000
Praha,1+1,46 ,26363,8787
Olomoucký kraj,2+1,55 ,15000,3000
Praha,3+1,111 ,31050,10350
Praha,2+1,50 ,18000,2000
Jihomoravský kraj,3+1,100 ,19000,5000
Praha,2+kk,31 ,15200,2000
Praha,2+kk,42 ,15200,4000
Olomoucký kraj,1+kk,33 ,11500,2000
Královéhradecký kraj,3+1,95 ,14900,3900
Praha,1+kk,23 ,12500,2000
Praha,1+1,52 ,31590,10530
Praha,3+1,90 ,19800,6600
Moravskoslezský kraj,2+1,54 ,7230,4270
kraj Vysočina,1+kk,40 ,10000,2800
Karlovarský kraj,3+1,83 ,14000,5000
Pardubický kraj,2+1,63 ,8500,2500
kraj Vysočina,3+kk,60 ,10000,6000
kraj Vysočina,2+1,55 ,4529,2971
Praha,3+kk,91 ,33000,5500
Praha,3+1,67 ,17990,5013
Ústecký kraj,2+kk,65 ,22500,7500
Jihomoravský kraj,1+1,50 ,13500,3650
Jihomoravský kraj,1+1,30 ,9500,4500
Praha,2+kk,50 ,29850,9950
Ústecký kraj,2+kk,0 ,21375,7125
Jihomoravský kraj,1+kk,34 ,13900,4000
Praha,2+kk,43 ,14000,3920
Jihomoravský kraj,3+kk,75 ,16000,4000
Pardubický kraj,3+1,86 ,12000,1234
Praha,1+kk,39 ,16800,3000
Praha,3+1,90 ,19800,6600
Moravskoslezský kraj,3+1,67 ,10310,0
Královéhradecký kraj,2+kk,52 ,14500,3500
Jihomoravský kraj,2+1,55 ,13700,3800
Moravskoslezský kraj,2+1,57 ,10050,0
Praha,2+kk,50 ,20000,0
Praha,1+kk,33 ,13000,1800
Středočeský kraj,2+kk,60 ,16000,4000
