Praha - Smíchov,Garsoniéra,20 ,8000,2500
Krátká Doksy u Kladna Středočeský kraj,2+kk,44 ,10900,2000
Mladé gardy Havířov-město Moravskoslezský kraj,2+1,49 ,6800,0
Plzeň - Bolevec Plzeňský kraj,3+1,75 ,17100,900
Sapíkova Karviná-město Moravskoslezský kraj,2+1,48 ,4470,0
Rychnov nad Kněžnou Královéhradecký kraj,2+kk,56 ,15000,3000
U Stromovky Havířov-město Moravskoslezský kraj,2+kk,34 ,7550,0
Štverákova Praha - Horní Počernice,1+kk,33 ,14900,3300
U Stromovky Havířov-město Moravskoslezský kraj,2+kk,46 ,6050,0
Opletalova Praha - Nové Město,2+kk,52 ,24500,3900
Ladislava Váchy Zlín - Prštné Zlínský kraj,2+1,65 ,9000,5000
O. Nedbala České Budějovice 2 Jihočeský kraj,1+kk,54 ,16900,3000
Jordánská Praha - Kyje,1+kk,33 ,10000,3000
Na Michalůvce Havířov - Prostřední Suchá Moravskoslezský kraj,2+kk,47 ,5720,0
Jeseniova Praha - Žižkov,2+kk,48 ,14900,4800
Mečislavova Praha - Nusle,2+kk,60 ,37500,12500
Brno - Bohunice Jihomoravský kraj,1+kk,35 ,9000,2000
Ostrovského Havířov-město Moravskoslezský kraj,1+kk,20 ,4050,0
Hlavní třída Havířov-město Moravskoslezský kraj,2+1,54 ,6650,0
Praha - Holešovice,3+1,69 ,29500,6000
Praha - Smíchov,2+kk,54 ,18000,4124
Třinec Moravskoslezský kraj,2+kk,39 ,9000,300
Praha - Hloubětín,1+kk,36 ,13000,0
Brno - Žabovřesky Jihomoravský kraj,2+1,55 ,14500,4500
třída Míru Olomouc - Nová Ulice Olomoucký kraj,3+1,70 ,13500,2500
Saarinenova Praha - Hloubětín,2+kk,62 ,20000,2500
náměstí Bratří Synků Praha - Nusle,2+kk,56 ,31500,10500
Strakonická Praha - Smíchov,1+kk,30 ,26925,8975
Kolín Středočeský kraj,2+kk,65 ,14000,3000
Beroun Středočeský kraj,3+kk,66 ,15000,4000
Olomouc - Nová Ulice Olomoucký kraj,2+kk,50 ,13000,2500
Praha - Střešovice,1+kk,26 ,9300,4500
Pod Lázní Praha - Nusle,2+kk,64 ,21000,1500
Zachova Praha - Krč,1+1,35 ,12000,3000
Lhotecká Hradec Králové - Malšova Lhota Královéhradecký kraj,2+kk,42 ,12000,2600
Praha - Strašnice,1+kk,42 ,14500,0
Plzeň - Doubravka Plzeňský kraj,3+1,77 ,17000,3000
Mečislavova Praha - Nusle,2+kk,56 ,37500,12500
Palackého náměstí Třeboň Jihočeský kraj,4+1,105 ,28688,9562
Žitná Liberec - Rochlice u Liberce Liberecký kraj,2+kk,42 ,8500,2500
Praha - Strašnice,1+kk,30 ,20000,3500
Tererova Praha - Chodov,3+kk,65 ,18000,4950
Horymírova Ostrava - Zábřeh nad Odrou Moravskoslezský kraj,3+kk,90 ,18000,0
Kotkova Dvůr Králové nad Labem Královéhradecký kraj,2+kk,59 ,9500,3300
Janýrova Praha - Strašnice,2+kk,68 ,22500,5000
Neklanova Praha - Vyšehrad,2+1,79 ,33825,11275
Karmelitská Praha - Malá Strana,1+1,50 ,27000,9000
Zelinářská Plzeň Plzeňský kraj,3+kk,120 ,60000,20000
Praha - Košíře,1+kk,11 ,6800,500
Hnězdenská Praha - Troja,1+kk,50 ,12250,2615
Řásnovka Praha - Staré Město,3+1,55 ,48645,16215
Mečislavova Praha - Nusle,2+kk,60 ,37500,12500
Karlova Praha - Staré Město,2+1,65 ,31875,10625
náměstí 5. května Čelákovice Středočeský kraj,2+kk,57 ,12000,6000
